2024 RANK,2023 RANK,Institution Name - WRONG,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
1201-1400,1201-1400,Universitatea de Vest din Timisoara / West University of Timisoara,West University of Timișoara,RO,Romania,L,FO,HI,4.0,A,2023-06-09 00:00:00,601+,2023-03-06 00:00:00,601+,2023-08-04 00:00:00,701+,2023-06-02 00:00:00,701+,2023-06-01 00:00:00,701+,2023-02-05 00:00:00,701+,2023-01-01 00:00:00,701+,2023-02-08 00:00:00,701+,2023-01-01 00:00:00,701+,-
1201-1400,,Université de Franche-Comté,University of Franche-Comté,FR,France,,CO,,,A,2023-08-05 00:00:00,601+,2023-01-02 00:00:00,601+,,,,,,,,,46,336,,,,,-
1201-1400,,Université de Limoges,University of Limoges,FR,France,M,SP,,,,2023-01-06 00:00:00,601+,2023-09-01 00:00:00,601+,2023-02-18 00:00:00,701+,2023-02-07 00:00:00,701+,,,,,2023-07-16 00:00:00,578,2023-04-06 00:00:00,701+,,,-
1201-1400,1201-1400,Université Jean Moulin Lyon 3,Jean Moulin University Lyon 3,FR,France,L,SP,,5.0,A,2023-09-08 00:00:00,601+,2023-04-03 00:00:00,601+,2023-08-01 00:00:00,701+,2023-02-02 00:00:00,701+,2023-05-25 00:00:00,528,2023-08-30 00:00:00,414,1,701+,2023-01-07 00:00:00,701+,2023-01-01 00:00:00,701+,-
1201-1400,1201-1400,Université Paris-Nanterre,Paris Nanterre University,FR,France,XL,FO,VH,5.0,A,2023-09-11 00:00:00,601+,2023-04-02 00:00:00,601+,3,701+,3,701+,2023-09-09 00:00:00,701+,2023-05-01 00:00:00,701+,2023-06-14 00:00:00,601,2023-02-15 00:00:00,553,2023-09-01 00:00:00,701+,-
1201-1400,1001-1200,University of Bialystok,University of Białystok,PL,Poland,M,FO,VH,3.0,A,2023-08-05 00:00:00,601+,2023-01-03 00:00:00,601+,2023-01-28 00:00:00,544,2023-05-02 00:00:00,701+,,,2023-02-05 00:00:00,701+,2023-05-01 00:00:00,701+,2023-01-06 00:00:00,701+,1,701+,-
1201-1400,,University of Iceland,University of Iceland,IS,Iceland,,CO,,5.0,,2023-08-07 00:00:00,601+,2023-05-05 00:00:00,601+,,,,,,,,,37.9,396,,,,,-
1201-1400,1001-1200,University of Miskolc,University of Miskolc,HU,Hungary,M,CO,HI,5.0,B,2023-02-06 00:00:00,601+,2023-02-05 00:00:00,601+,2023-06-23 00:00:00,606,2023-03-02 00:00:00,701+,2023-01-03 00:00:00,701+,2023-06-06 00:00:00,701+,2023-02-01 00:00:00,701+,2023-07-12 00:00:00,675,2023-01-01 00:00:00,701+,-
1201-1400,1201-1400,University of Niš,University of Niš,RS,Serbia,L,FC,HI,4.0,A,2023-02-05 00:00:00,601+,2023-07-03 00:00:00,601+,2023-02-13 00:00:00,701+,2023-04-02 00:00:00,701+,,,2023-02-06 00:00:00,701+,2023-01-06 00:00:00,701+,2023-01-09 00:00:00,701+,2023-01-01 00:00:00,701+,-
1201-1400,1001-1200,University of Ostrava,University of Ostrava,CZ,Czech Republic,M,FO,VH,3.0,A,6,601+,1,601+,2023-09-19 00:00:00,669,2023-01-04 00:00:00,701+,2023-06-18 00:00:00,605,2023-03-12 00:00:00,673,2023-08-01 00:00:00,701+,2023-07-07 00:00:00,701+,2023-02-01 00:00:00,701+,-
1201-1400,1001-1200,University of Pannonia,University of Pannonia,HU,Hungary,S,FO,VH,4.0,A,2023-05-04 00:00:00,601+,2023-05-03 00:00:00,601+,2023-07-23 00:00:00,603,2023-03-08 00:00:00,701+,,,2023-02-09 00:00:00,701+,2023-09-05 00:00:00,701+,2023-08-05 00:00:00,701+,1,701+,-
1201-1400,1001-1200,University of Rijeka,University of Rijeka,HR,Croatia,L,CO,HI,4.0,A,2023-09-05 00:00:00,601+,2023-07-02 00:00:00,601+,2023-01-17 00:00:00,701+,2023-03-04 00:00:00,701+,2023-06-02 00:00:00,701+,2023-09-01 00:00:00,701+,2023-07-05 00:00:00,701+,2023-01-10 00:00:00,701+,2023-06-02 00:00:00,701+,-
1201-1400,1201-1400,University of Rzeszów,University of Rzeszów,PL,Poland,L,FC,HI,3.0,A,2023-03-04 00:00:00,601+,2023-09-01 00:00:00,601+,2023-08-17 00:00:00,701+,2023-06-02 00:00:00,701+,,,2023-07-01 00:00:00,701+,2,701+,2023-01-06 00:00:00,701+,1,701+,-
1201-1400,1201-1400,University of Sarajevo,University of Sarajevo,BA,Bosnia and Herzegovina,L,CO,HI,4.0,A,2023-02-04 00:00:00,601+,2023-05-03 00:00:00,601+,2023-08-03 00:00:00,701+,2,701+,,,3,701+,7,701+,38.2,192,1,701+,-
1201-1400,1201-1400,University of Silesia in Katowice,University of Silesia in Katowice,PL,Poland,L,CO,VH,4.0,A,2023-03-05 00:00:00,601+,2023-03-04 00:00:00,601+,2023-02-17 00:00:00,701+,2023-03-03 00:00:00,701+,2023-03-03 00:00:00,701+,2023-03-03 00:00:00,701+,2023-05-11 00:00:00,644,2023-03-08 00:00:00,701+,2023-04-01 00:00:00,701+,-
1201-1400,1201-1400,University of Split,University of Split,HR,Croatia,L,FC,HI,3.0,A,2023-09-05 00:00:00,601+,2023-05-02 00:00:00,601+,2023-02-04 00:00:00,701+,2023-09-03 00:00:00,701+,2023-05-01 00:00:00,701+,2023-01-02 00:00:00,701+,2023-09-05 00:00:00,701+,11,701+,2023-04-01 00:00:00,701+,-
1201-1400,1001-1200,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn,PL,Poland,L,FO,VH,2.0,A,6,601+,2023-08-10 00:00:00,601+,2023-02-24 00:00:00,589,2023-05-03 00:00:00,701+,2,701+,2023-07-02 00:00:00,701+,2023-03-04 00:00:00,701+,2023-03-06 00:00:00,701+,2023-03-01 00:00:00,701+,-
1201-1400,1201-1400,University of West Bohemia,University of West Bohemia,CZ,Czech Republic,M,FO,VH,3.0,A,2023-09-05 00:00:00,601+,2,601+,2023-09-11 00:00:00,701+,2023-03-04 00:00:00,701+,,,,,2023-07-02 00:00:00,701+,2023-04-11 00:00:00,701+,1,701+,-
1201-1400,1201-1400,University POLITEHNICA of Bucharest,Politehnica University of Bucharest,RO,Romania,L,FO,VH,5.0,A,2023-07-05 00:00:00,601+,2023-07-08 00:00:00,601+,2023-05-03 00:00:00,701+,2023-04-06 00:00:00,701+,2023-05-01 00:00:00,701+,2023-08-02 00:00:00,701+,2023-09-17 00:00:00,561,2023-04-06 00:00:00,701+,2023-02-01 00:00:00,701+,-
1201-1400,1001-1200,Voronezh State University,Voronezh State University,RU,Russia,L,CO,HI,5.0,A,2023-09-05 00:00:00,601+,2023-03-02 00:00:00,601+,2023-09-19 00:00:00,670,2023-03-01 00:00:00,701+,2023-04-03 00:00:00,701+,2023-06-25 00:00:00,466,1,701+,2023-06-06 00:00:00,701+,2023-04-01 00:00:00,701+,-
1401+,1201-1400,Akdeniz Üniversitesi,Akdeniz University,TR,Turkey,XL,FC,HI,3.0,A,2023-02-05 00:00:00,601+,2023-08-03 00:00:00,601+,2023-04-03 00:00:00,701+,2023-08-02 00:00:00,701+,2023-02-01 00:00:00,701+,2023-01-01 00:00:00,701+,2023-09-01 00:00:00,701+,2023-05-07 00:00:00,701+,1,701+,-
1401+,1401+,Ataturk University,Atatürk University,TR,Turkey,XL,CO,HI,4.0,A,2023-09-04 00:00:00,601+,2,601+,2023-08-02 00:00:00,701+,2023-09-03 00:00:00,701+,2023-07-02 00:00:00,701+,2023-06-03 00:00:00,701+,2023-03-02 00:00:00,701+,2023-04-09 00:00:00,701+,2023-03-04 00:00:00,701+,-
1401+,1401+,Cukurova University,Çukurova University,TR,Turkey,XL,FC,HI,4.0,A,2023-04-04 00:00:00,601+,2023-08-02 00:00:00,601+,2023-05-04 00:00:00,701+,2023-05-02 00:00:00,701+,2023-01-02 00:00:00,701+,5,701+,2023-08-03 00:00:00,701+,2023-09-06 00:00:00,701+,2023-09-13 00:00:00,625=,-
1401+,,Georgian Technical University,Georgian Technical University,GE,Georgia,,FO,,5.0,A,2023-03-06 00:00:00,601+,2023-02-04 00:00:00,601+,,,,,,,,,1,701+,,,,,-
1401+,1201-1400,Irkutsk State University,Irkutsk State University,RU,Russia,L,CO,HI,5.0,A,2023-06-03 00:00:00,601+,2023-06-01 00:00:00,601+,2023-06-17 00:00:00,701+,2023-04-01 00:00:00,701+,2023-09-01 00:00:00,701+,2023-08-03 00:00:00,701+,2023-01-01 00:00:00,701+,2023-07-08 00:00:00,701+,2023-05-01 00:00:00,701+,-
1401+,1201-1400,MIREA - Russian Technological University,MIREA – Russian Technological University,RU,Russia,L,FO,VH,4.0,A,2023-02-05 00:00:00,601+,2023-09-04 00:00:00,601+,2023-05-07 00:00:00,701+,2023-04-01 00:00:00,701+,2023-03-01 00:00:00,701+,2023-04-03 00:00:00,701+,1,701+,2023-03-07 00:00:00,701+,1,701+,-
1401+,1201-1400,Moscow City University,Moscow City Teachers' Training University,RU,Russia,L,FO,MD,3.0,A,2023-01-06 00:00:00,601+,2023-06-01 00:00:00,601+,2023-03-09 00:00:00,701+,2023-01-01 00:00:00,701+,2023-09-02 00:00:00,701+,2023-06-03 00:00:00,701+,1,701+,2023-06-07 00:00:00,701+,2023-02-01 00:00:00,701+,-
1401+,1401+,Sakarya University,Sakarya University,TR,Turkey,XL,FC,MD,3.0,A,2023-07-03 00:00:00,601+,3,601+,2023-08-02 00:00:00,701+,2023-01-03 00:00:00,701+,2023-07-01 00:00:00,701+,2023-06-12 00:00:00,669,2023-03-01 00:00:00,701+,2023-05-07 00:00:00,701+,1,701+,-
1401+,,Technical University of Crete,Technical University of Crete,GR,Greece,,SP,,,,2023-09-05 00:00:00,601+,2023-04-05 00:00:00,601+,,,,,,,,,2023-06-02 00:00:00,701+,,,,,-
1401+,,Technische Universität Bergakademie Freiberg,Freiberg University of Mining and Technology,DE,Germany,,SP,,,,2023-05-05 00:00:00,601+,2023-06-04 00:00:00,601+,,,,,,,,,2023-09-04 00:00:00,701+,,,,,-
1401+,,Technische Universität Hamburg-Harburg,Hamburg University of Technology,DE,Germany,,SP,,,,2023-08-08 00:00:00,601+,2023-06-05 00:00:00,601+,,,,,,,,,2023-08-02 00:00:00,701+,,,,,-
1401+,,Technische Universität Kaiserslautern,Technical University of Kaiserslautern,DE,Germany,,CO,,,,2023-05-06 00:00:00,601+,2023-02-03 00:00:00,601+,,,,,,,,,2023-08-10 00:00:00,655,,,,,-
1401+,,Université Sorbonne Paris Nord,Sorbonne Paris North University,FR,France,,CO,,,,2023-05-09 00:00:00,601+,2023-01-05 00:00:00,601+,,,,,,,,,2023-03-14 00:00:00,611,,,,,-
1401+,1401+,University of Craiova,University of Craiova,RO,Romania,L,CO,HI,4.0,A,2023-01-04 00:00:00,601+,2,601+,2023-09-02 00:00:00,701+,2,701+,,,,,2023-01-01 00:00:00,701+,2023-09-07 00:00:00,701+,1,701+,-
1401+,1201-1400,University of Kragujevac,University of Kragujevac,RS,Serbia,L,FO,VH,3.0,A,4,601+,2023-04-02 00:00:00,601+,2023-03-10 00:00:00,701+,2023-06-03 00:00:00,701+,1,701+,2023-01-01 00:00:00,701+,2023-07-02 00:00:00,701+,2023-02-09 00:00:00,701+,1,701+,-
1401+,1401+,University of Oradea,University of Oradea,RO,Romania,L,FC,MD,4.0,A,5,601+,2,601+,2023-06-03 00:00:00,701+,2023-07-01 00:00:00,701+,2023-06-01 00:00:00,701+,7,701+,2023-08-01 00:00:00,701+,2023-09-05 00:00:00,701+,2023-02-02 00:00:00,701+,-
1401+,,University of Stavanger,University of Stavanger,NO,Norway,,CO,,2.0,,2023-02-07 00:00:00,601+,2023-07-05 00:00:00,601+,,,,,,,,,2023-03-26 00:00:00,489,,,,,-
1401+,1201-1400,"University Politehnica of Timisoara, UPT",Politehnica University of Timișoara,RO,Romania,M,FO,VH,5.0,A,4,601+,2023-04-03 00:00:00,601+,2023-06-08 00:00:00,701+,2023-06-03 00:00:00,701+,2023-02-01 00:00:00,701+,2023-09-02 00:00:00,701+,2023-03-01 00:00:00,701+,2023-05-08 00:00:00,701+,1,701+,-
1401+,,Zürcher Hochschule Winterthur,Zurich University of Applied Sciences/ZHAW,CH,Switzerland,,CO,,,,2023-07-05 00:00:00,601+,2023-07-06 00:00:00,601+,,,,,,,,,2023-07-01 00:00:00,701+,,,,,-
