2024 RANK,2023 RANK,Institution Name - WRONG,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
1001-1200,,University of Deusto,University of Deusto,ES,Spain,M,FO,VH,5.0,,2023-08-05 00:00:00,601+,2023-09-20 00:00:00,445,5,701+,2023-08-06 00:00:00,701+,,,,,2023-03-01 00:00:00,701+,2023-07-12 00:00:00,677,,,-
1001-1200,801-1000,University of Hradec Kralove,University of Hradec Králové,CZ,Czech Republic,M,FO,VH,4.0,A,5,601+,2023-09-01 00:00:00,601+,2023-09-27 00:00:00,547,2023-05-04 00:00:00,701+,41.4,400,3,701+,2023-04-03 00:00:00,701+,10,701+,1,701+,-
1001-1200,1001-1200,University of Naples Parthenope,Parthenope University of Naples,IT,Italy,M,FO,VH,4.0,A,2023-05-03 00:00:00,601+,2,601+,2023-07-03 00:00:00,701+,38.9,353,2023-08-01 00:00:00,701+,2023-09-01 00:00:00,701+,2023-07-01 00:00:00,701+,2023-08-04 00:00:00,701+,2023-04-03 00:00:00,701+,-
1001-1200,1201-1400,University of Novi Sad,University of Novi Sad,RS,Serbia,XL,FC,HI,4.0,A,2023-08-08 00:00:00,601+,2023-06-03 00:00:00,601+,2023-03-09 00:00:00,701+,2023-04-03 00:00:00,701+,,,,,47.5,330,9,701+,2023-02-02 00:00:00,701+,-
1001-1200,1001-1200,University of Pardubice,University of Pardubice,CZ,Czech Republic,M,FO,VH,4.0,A,2023-08-04 00:00:00,601+,2023-06-02 00:00:00,601+,39.8,398,2023-03-03 00:00:00,701+,2023-05-11 00:00:00,701+,2023-01-11 00:00:00,689,2023-01-01 00:00:00,701+,2023-08-07 00:00:00,701+,1,701+,-
1001-1200,1001-1200,University of Primorska,University of Primorska,SI,Slovenia,M,CO,HI,3.0,A,2023-01-03 00:00:00,601+,2023-03-02 00:00:00,601+,2023-04-09 00:00:00,701+,2023-01-05 00:00:00,701+,2023-03-26 00:00:00,520,2023-06-28 00:00:00,435,2023-07-05 00:00:00,701+,67.8,80,2023-04-01 00:00:00,701+,-
1001-1200,701-750,University of South Bohemia,University of South Bohemia in České Budějovice,CZ,Czech Republic,M,FO,VH,3.0,A,2023-05-05 00:00:00,601+,2023-06-02 00:00:00,601+,68.7,190,2023-08-04 00:00:00,701+,,,,,2023-09-05 00:00:00,701+,2023-07-07 00:00:00,701+,2023-02-01 00:00:00,701+,-
1001-1200,801-1000,University of Tyumen,University of Tyumen,RU,Russia,M,FO,VH,4.0,A,2023-01-04 00:00:00,601+,2023-03-02 00:00:00,601+,39,407,2023-06-01 00:00:00,701+,2023-08-04 00:00:00,701+,2023-02-15 00:00:00,616,2023-07-01 00:00:00,701+,2023-07-08 00:00:00,701+,3,701+,-
1001-1200,1001-1200,University of Wolverhampton,University of Wolverhampton,UK,United Kingdom,L,CO,HI,5.0,A,2023-04-03 00:00:00,601+,2023-02-03 00:00:00,601+,2023-04-10 00:00:00,701+,2023-04-09 00:00:00,701+,34.7,457,72.1,200,2023-07-03 00:00:00,701+,2023-08-08 00:00:00,701+,2023-04-01 00:00:00,701+,-
1001-1200,801-1000,University of Žilina,University of Žilina,SK,Slovakia,M,FO,VH,4.0,A,2023-07-05 00:00:00,601+,1,601+,56.1,264,2023-02-06 00:00:00,701+,2023-05-02 00:00:00,701+,2023-09-02 00:00:00,701+,2023-02-01 00:00:00,701+,2023-04-13 00:00:00,641,2023-01-01 00:00:00,701+,-
1001-1200,1201-1400,VSB - Technical University of Ostrava,VSB – Technical University of Ostrava,CZ,Czech Republic,M,FO,VH,5.0,A,2023-04-05 00:00:00,601+,2023-03-10 00:00:00,601+,2023-05-15 00:00:00,701+,2023-03-04 00:00:00,701+,2023-04-08 00:00:00,701+,22,514,2023-08-01 00:00:00,701+,2023-04-09 00:00:00,701+,2023-04-08 00:00:00,695=,-
1001-1200,1001-1200,Warsaw University of Life Sciences – SGGW (WULS-SGGW),Warsaw University of Life Sciences,PL,Poland,L,FO,VH,5.0,A,2023-09-06 00:00:00,601+,5,601+,2023-02-20 00:00:00,661,6,701+,2023-04-02 00:00:00,701+,2023-07-07 00:00:00,701+,32.3,442,2023-03-06 00:00:00,701+,2023-09-01 00:00:00,701+,-
1001-1200,801-1000,Yerevan State University,Yerevan State University,AM,Armenia,M,CO,HI,5.0,A,7,601+,3,601+,45.4,347,2023-04-01 00:00:00,701+,2023-02-05 00:00:00,701+,2023-06-01 00:00:00,701+,1,701+,35.2,215,1,701+,-
1201-1400,1201-1400,Lucian Blaga University of Sibiu,Lucian Blaga University of Sibiu,RO,Romania,L,FC,MD,3.0,A,2023-07-03 00:00:00,601+,2023-05-02 00:00:00,601+,2023-01-08 00:00:00,701+,2023-08-01 00:00:00,701+,2023-05-12 00:00:00,701+,2023-01-03 00:00:00,701+,49.8,313,9,701+,2023-08-01 00:00:00,701+,-
1201-1400,1201-1400,Don State Technical University,Don State Technical University,RU,Russia,L,CO,HI,4.0,A,2023-02-04 00:00:00,601+,2023-01-03 00:00:00,601+,2023-03-13 00:00:00,701+,2023-04-01 00:00:00,701+,2023-06-01 00:00:00,701+,2023-08-14 00:00:00,624,1,701+,2023-02-07 00:00:00,701+,2023-03-01 00:00:00,701+,-
1201-1400,1201-1400,Alexandru Ioan Cuza University,Alexandru Ioan Cuza University,RO,Romania,L,FO,VH,5.0,A,8,601+,8,601+,2023-03-05 00:00:00,701+,2023-09-02 00:00:00,701+,2023-06-03 00:00:00,701+,2023-09-10 00:00:00,693,2023-08-01 00:00:00,701+,8,701+,2023-02-01 00:00:00,701+,-
1201-1400,1201-1400,Anadolu University,Anadolu University,TR,Turkey,L,FO,VH,4.0,A,4,601+,4,601+,2023-08-13 00:00:00,701+,2023-09-02 00:00:00,701+,2023-09-01 00:00:00,701+,2023-01-03 00:00:00,701+,2023-04-01 00:00:00,701+,2023-06-10 00:00:00,701+,2023-01-01 00:00:00,701+,-
1201-1400,1001-1200,Belarusian State University of Informatics and Radioelectronics,Belarusian State University of Informatics and Radioelectronics,BY,Belarus,M,SP,,4.0,A,2023-04-07 00:00:00,601+,2023-03-18 00:00:00,478,12,701+,2023-03-01 00:00:00,701+,2023-02-01 00:00:00,701+,2023-06-05 00:00:00,701+,1,701+,2023-09-10 00:00:00,701+,,,-
1201-1400,1201-1400,Dokuz Eylül Üniversitesi,Dokuz Eylül University,TR,Turkey,XL,FC,HI,3.0,A,2023-07-05 00:00:00,601+,2023-09-05 00:00:00,601+,2023-09-02 00:00:00,701+,2023-04-02 00:00:00,701+,2023-02-03 00:00:00,701+,2023-02-06 00:00:00,701+,2023-01-02 00:00:00,701+,2023-05-07 00:00:00,701+,2023-07-16 00:00:00,584=,-
1201-1400,1401+,Erciyes Üniversitesi,Erciyes University,TR,Turkey,XL,FC,HI,3.0,A,2023-09-03 00:00:00,601+,2023-01-03 00:00:00,601+,2023-09-01 00:00:00,701+,2023-09-04 00:00:00,701+,2023-05-03 00:00:00,701+,2023-05-06 00:00:00,701+,3,701+,2023-05-07 00:00:00,701+,2023-03-10 00:00:00,665=,-
1201-1400,1201-1400,Gebze Yüksek Teknoloji Enstitüsü (GYTE),Gebze Technical University,TR,Turkey,M,CO,VH,3.0,A,2023-09-03 00:00:00,601+,2023-07-02 00:00:00,601+,2023-01-10 00:00:00,701+,2023-02-13 00:00:00,675,3,701+,2023-07-02 00:00:00,701+,2023-06-01 00:00:00,701+,2023-01-09 00:00:00,701+,2023-01-01 00:00:00,701+,-
1201-1400,1001-1200,Istanbul Aydin University,Istanbul Aydın University,TR,Turkey,L,CO,MD,2.0,B,2023-07-03 00:00:00,601+,2023-08-02 00:00:00,601+,2023-01-12 00:00:00,701+,2023-04-01 00:00:00,701+,2023-05-09 00:00:00,701+,50.5,289,1,701+,2023-04-08 00:00:00,701+,2023-04-02 00:00:00,701+,-
1201-1400,1201-1400,Istanbul Bilgi Üniversitesi,Istanbul Bilgi University,TR,Turkey,M,FO,HI,3.0,B,2023-04-04 00:00:00,601+,2023-05-04 00:00:00,601+,2023-06-12 00:00:00,701+,2,701+,2023-04-06 00:00:00,701+,2023-05-25 00:00:00,470,1,701+,2023-02-10 00:00:00,701+,2023-06-02 00:00:00,701+,-
1201-1400,1001-1200,Ivan Franko National University of Lviv,University of Lviv,UA,Ukraine,L,CO,HI,5.0,A,2023-03-04 00:00:00,601+,2023-01-10 00:00:00,601+,34.2,467,2023-03-01 00:00:00,701+,2023-04-01 00:00:00,701+,2,701+,1,701+,12,701+,2023-01-01 00:00:00,701+,-
