Unnamed: 0,2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,Institution Name - WRONG,Wikidata
0,2,2,University of Cambridge,UK,United Kingdom,L,FC,VH,5.0,A,100.0,3,100.0,4,100.0,14,92.3,68,100.0,64,95.8,85,99.9,7,100.0,6,97.3,33=,99.2,University of Cambridge,"{""entities"": {""Q35794"": {""type"": ""item"", ""id"": ""Q35794"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""collegiate public research university in Cambridge, England, United Kingdom""}}}}, ""success"": 1}"
1,3,4,University of Oxford,UK,United Kingdom,L,FC,VH,5.0,A,100.0,2,100.0,5,100.0,8,90.6,73,98.2,110,98.2,60,100.0,1,100.0,3,97.8,26=,98.9,University of Oxford,"{""entities"": {""Q34433"": {""type"": ""item"", ""id"": ""Q34433"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""collegiate research university in Oxford, England""}}}}, ""success"": 1}"
2,6,6=,Imperial College London,UK,United Kingdom,L,FC,VH,5.0,A,98.3,23,99.4,12,98.5,42,94.0,58,100.0,61,100.0,14,96.7,35,83.0,45,94.4,61=,97.8,Imperial College London,"{""entities"": {""Q189022"": {""type"": ""item"", ""id"": ""Q189022"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university located in London, United Kingdom""}}}}, ""success"": 1}"
3,7,9,ETH Zurich,CH,Switzerland,L,FO,VH,5.0,A,98.8,19,83.6,62,72.1,177,98.9,21,100.0,22,98.5,56,96.0,42,79.1,52,88.4,103=,93.3,ETH Zurich - Swiss Federal Institute of Technology,"{""entities"": {""Q11942"": {""type"": ""item"", ""id"": ""Q11942"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Swiss Federal Institute of Technology in Z\u00fcrich""}}}}, ""success"": 1}"
4,9,8,UCL,UK,United Kingdom,XL,FC,VH,5.0,A,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100.0,15,100.0,2,51.6,126,92.5,74,92.4,UCL,"{""entities"": {""Q250211"": {""type"": ""item"", ""id"": ""Q250211"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Wikimedia disambiguation page""}}}}, ""success"": 1}"
5,22,15,University of Edinburgh,UK,United Kingdom,XL,FC,VH,5.0,A,98.1,25,96.9,26,72.4,176,58.7,216,98.8,100,99.9,33,99.6,12,48.1,141,99.7,6,86.1,The University of Edinburgh,"{""entities"": {""Q160302"": {""type"": ""item"", ""id"": ""Q160302"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Edinburgh, Scotland, United Kingdom""}}}}, ""success"": 1}"
6,24,26,Paris Sciences et Lettres University,FR,France,L,CO,VH,1.0,A,73.7,82,97.0,25,99.3,33,95.7,49,69.2,280,72.7,196,100.0,3,60.8,97,80.4,146=,85.8,Université PSL,"{""entities"": {""Q1163431"": {""type"": ""item"", ""id"": ""Q1163431"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university in Paris""}}}}, ""success"": 1}"
7,32,28,University of Manchester,UK,United Kingdom,XL,FC,VH,5.0,A,95.4,33,98.0,21,53.8,288,49.1,274,93.5,160,99.4,44,99.7,10,71.9,66,92.3,75=,82.2,The University of Manchester,"{""entities"": {""Q230899"": {""type"": ""item"", ""id"": ""Q230899"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Manchester, England""}}}}, ""success"": 1}"
8,36,16=,École Polytechnique Fédérale de Lausanne,CH,Switzerland,M,FO,VH,5.0,A,84.6,57,59.9,133,92.4,73,98.0,34,100.0,25,100.0,12,65.6,213,19.4,431,42.3,351=,80.4,EPFL,"{""entities"": {""Q262760"": {""type"": ""item"", ""id"": ""Q262760"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Lausanne, Switzerland""}}}}, ""success"": 1}"
9,37,49,Technical University of Munich,DE,Germany,XL,FO,VH,5.0,A,83.9,59,98.2,19,88.8,89,59.6,210,76.5,243,97.3,71,86.7,103,25.0,330,84.8,120=,80.0,Technical University of Munich,"{""entities"": {""Q157808"": {""type"": ""item"", ""id"": ""Q157808"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Germany""}}}}, ""success"": 1}"
10,=38,48,Polytechnic Institute of Paris,FR,France,M,CO,VH,1.0,A,44.8,185,99.6,10,97.3,51,93.8,59,98.5,106,98.3,58,76.9,163,90.3,35,72.5,189=,79.5,Institut Polytechnique de Paris,"{""entities"": {""Q48759778"": {""type"": ""item"", ""id"": ""Q48759778"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French research university of engineering schools in Paris-Saclay""}}}}, ""success"": 1}"
11,40,37,King's College London,UK,United Kingdom,XL,FC,VH,5.0,A,89.5,46,82.3,68,64.6,215,61.1,201,98.8,99,100.0,23,99.2,14,34.4,223,81.1,142=,79.3,King's College London,"{""entities"": {""Q245247"": {""type"": ""item"", ""id"": ""Q245247"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in London, United Kingdom""}}}}, ""success"": 1}"
12,45,56,London School of Economics,UK,United Kingdom,M,SP,VH,5.0,A,67.7,98,96.1,32,39.6,401,80.2,110,100.0,35,100.0,10,32.4,440,98.6,16,97.8,28,76.9,The London School of Economics and Political Science (LSE),"{""entities"": {""Q174570"": {""type"": ""item"", ""id"": ""Q174570"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in London, United Kingdom""}}}}, ""success"": 1}"
13,=47,61=,Delft University of Technology,NL,Netherlands,L,CO,VH,5.0,A,73.0,84,79.0,73,36.9,428,84.9,95,100.0,66,89.3,121,91.4,72,42.1,170,98.4,18=,76.2,Delft University of Technology,"{""entities"": {""Q752663"": {""type"": ""item"", ""id"": ""Q752663"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Dutch university""}}}}, ""success"": 1}"
14,53,58,University of Amsterdam,NL,Netherlands,XL,FC,VH,5.0,A,83.6,62,44.2,203,21.2,641,98.1,33,92.4,168,79.9,163,97.4,28,49.9,133,64.8,226=,73.4,University of Amsterdam,"{""entities"": {""Q214341"": {""type"": ""item"", ""id"": ""Q214341"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Amsterdam, Netherlands""}}}}, ""success"": 1}"
15,54,59,Ludwig Maximilian University of Munich,DE,Germany,XL,FC,VH,5.0,A,92.7,40,83.5,63,46.7,335,51.4,254,73.3,260,37.7,362,94.4,57,48.5,140,77.3,167=,72.5,Ludwig-Maximilians-Universität München,"{""entities"": {""Q55044"": {""type"": ""item"", ""id"": ""Q55044"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Munich, Germany""}}}}, ""success"": 1}"
16,55,61=,University of Bristol,UK,United Kingdom,L,FC,VH,5.0,A,74.9,78,84.7,60,47.3,331,64.7,179,85.5,205,86.8,136,84.4,122,39.6,181,81.3,141,72.4,University of Bristol,"{""entities"": {""Q459506"": {""type"": ""item"", ""id"": ""Q459506"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""research university located in Bristol, United Kingdom""}}}}, ""success"": 1}"
17,59,60,Sorbonne University,FR,France,XL,FC,VH,1.0,A,88.6,48,53.2,151,43.3,361,85.4,93,35.2,451,49.8,297,100.0,4,39.5,182,75.8,171=,71.7,Sorbonne University,"{""entities"": {""Q41497113"": {""type"": ""item"", ""id"": ""Q41497113"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university located in Paris, created in 2018 from the merger of Universit\u00e9 Paris IV and Universit\u00e9 Paris VI""}}}}, ""success"": 1}"
18,61,76,KU Leuven,BE,Belgium,XL,FC,VH,5.0,A,84.6,56,42.4,220,7.0,701+,92.7,66,93.1,163,45.7,318,99.9,6,56.1,111,75.6,173=,70.1,KU Leuven,"{""entities"": {""Q833670"": {""type"": ""item"", ""id"": ""Q833670"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""since 1969, a Dutch-speaking university, with its main campus in Leuven, Belgium""}}}}, ""success"": 1}"
19,67,64,University of Warwick,UK,United Kingdom,L,FC,VH,4.0,A,71.3,86,88.0,56,37.3,420,49.0,275,98.2,109,99.3,47,89.7,87,47.2,148,62.5,239=,68.6,The University of Warwick,"{""entities"": {""Q865528"": {""type"": ""item"", ""id"": ""Q865528"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Coventry, United Kingdom""}}}}, ""success"": 1}"
20,71,69,Paris-Saclay University,FR,France,XL,CO,VH,1.0,A,58.9,128,99.1,13,99.8,25,45.8,294,39.1,416,60.8,244,98.7,17,34.3,224,73.6,182=,67.6,Université Paris-Saclay,"{""entities"": {""Q109409389"": {""type"": ""item"", ""id"": ""Q109409389"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university consortium in the South of Paris""}}}}, ""success"": 1}"
21,=73,89,KTH Royal Institute of Technology,SE,Sweden,L,CO,VH,5.0,A,45.7,181,51.1,162,66.2,201,90.2,74,93.2,162,68.1,217,80.7,142,56.9,108,96.1,44=,66.4,KTH Royal Institute of Technology,"{""entities"": {""Q854280"": {""type"": ""item"", ""id"": ""Q854280"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Stockholm, Sweden""}}}}, ""success"": 1}"
22,75,86,University of Leeds,UK,United Kingdom,XL,FC,VH,5.0,A,70.3,89,76.7,77,37.3,421,42.3,320,85.2,208,90.0,118,98.7,16,37.8,193,90.9,88,65.5,University of Leeds,"{""entities"": {""Q503424"": {""type"": ""item"", ""id"": ""Q503424"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Leeds, United Kingdom""}}}}, ""success"": 1}"
23,=76,81,University of Glasgow,UK,United Kingdom,XL,FC,VH,5.0,A,76.3,77,70.7,101,41.7,377,31.8,423,96.0,143,99.5,41,90.0,80,26.7,306,99.5,11,65.2,University of Glasgow,"{""entities"": {""Q192775"": {""type"": ""item"", ""id"": ""Q192775"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university located in Glasgow, Scotland, founded in 1451""}}}}, ""success"": 1}"
24,78,92,Durham University,UK,United Kingdom,L,FC,VH,5.0,A,59.5,124,89.3,50,27.8,548,53.3,241,97.5,125,86.9,135,86.2,108,29.2,274,97.6,30=,65.1,Durham University,"{""entities"": {""Q458393"": {""type"": ""item"", ""id"": ""Q458393"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""collegiate public research university in Durham, England, United Kingdom""}}}}, ""success"": 1}"
25,=81,98,Trinity College Dublin,IE,Ireland,L,FC,VH,5.0,A,69.3,92,39.8,238,23.7,601,64.1,184,99.8,79,92.5,104,82.2,132,70.6,70,75.6,173=,63.5,"Trinity College Dublin, The University of Dublin","{""entities"": {""Q258464"": {""type"": ""item"", ""id"": ""Q258464"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""constituent college of the University of Dublin in Ireland""}}}}, ""success"": 1}"
26,=81,78,University of Southampton,UK,United Kingdom,L,FC,VH,5.0,A,51.5,154,51.2,160,52.8,298,71.4,140,96.1,138,97.4,70,97.0,31,32.5,235,82.7,133=,63.5,University of Southampton,"{""entities"": {""Q76473"": {""type"": ""item"", ""id"": ""Q76473"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""research university located in Southampton, United Kingdom""}}}}, ""success"": 1}"
27,84,91,University of Birmingham,UK,United Kingdom,XL,FC,VH,5.0,A,67.5,99,75.7,81,41.3,379,38.2,364,92.3,169,83.9,148,96.0,41,29.5,270,80.4,146=,63.0,University of Birmingham,"{""entities"": {""Q223429"": {""type"": ""item"", ""id"": ""Q223429"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Birmingham, England, United Kingdom""}}}}, ""success"": 1}"
28,=85,95,Lund University,SE,Sweden,L,FC,VH,5.0,A,69.3,93,47.5,185,50.2,310,37.7,373,98.8,102,77.4,173,95.2,52,66.0,83,99.1,14,62.8,Lund University,"{""entities"": {""Q218506"": {""type"": ""item"", ""id"": ""Q218506"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university located in the city of Lund in the province of Scania, Sweden""}}}}, ""success"": 1}"
29,=87,75,Moscow State University,RU,Russia,XL,FC,VH,5.0,A,81.2,69,78.3,74,99.8,26,4.6,701+,20.3,587,92.3,105,85.2,115,82.2,48,13.4,631=,62.2,Lomonosov Moscow State University,"{""entities"": {""Q13164"": {""type"": ""item"", ""id"": ""Q13164"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Moscow, Russia""}}}}, ""success"": 1}"
30,=87,65=,Heidelberg University,DE,Germany,L,FO,VH,5.0,A,78.3,75,52.0,156,99.7,29,38.2,365,52.5,349,50.4,290,89.7,88,19.8,423,42.6,345=,62.2,Ruprecht-Karls-Universität Heidelberg,"{""entities"": {""Q151510"": {""type"": ""item"", ""id"": ""Q151510"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Heidelberg, Baden-W\u00fcrttemberg, Germany""}}}}, ""success"": 1}"
31,=91,83=,University of Zurich,CH,Switzerland,L,FC,VH,5.0,A,59.1,126,27.6,352,89.9,88,52.0,248,100.0,60,53.0,274,87.2,100,75.2,58,80.2,149,61.6,University of Zurich,"{""entities"": {""Q206702"": {""type"": ""item"", ""id"": ""Q206702"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Switzerland""}}}}, ""success"": 1}"
32,=95,96=,University of St Andrews,UK,United Kingdom,M,FO,VH,5.0,A,47.3,173,67.2,114,64.9,212,57.7,223,98.7,103,100.0,29,51.1,306,22.4,370,92.1,77=,61.0,University of St Andrews,"{""entities"": {""Q216273"": {""type"": ""item"", ""id"": ""Q216273"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in St Andrews, Fife, Scotland, UK""}}}}, ""success"": 1}"
33,98,118=,Free University of Berlin,DE,Germany,L,FC,VH,4.0,A,80.8,70,51.0,163,4.4,701+,71.4,141,62.8,308,43.6,332,84.9,118,21.9,378,60.1,251,60.8,Freie Universitaet Berlin,"{""entities"": {""Q153006"": {""type"": ""item"", ""id"": ""Q153006"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Berlin, Germany""}}}}, ""success"": 1}"
34,=100,114,University of Nottingham,UK,United Kingdom,XL,FC,VH,5.0,A,60.7,116,72.1,96,32.2,492,46.5,290,90.0,183,75.2,185,98.4,18,24.4,342,80.0,150=,60.4,University of Nottingham,"{""entities"": {""Q472316"": {""type"": ""item"", ""id"": ""Q472316"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Russell Group public research university in Nottingham, England""}}}}, ""success"": 1}"
35,104,96=,University of Sheffield,UK,United Kingdom,L,FC,VH,5.0,A,58.7,130,52.3,153,54.7,278,46.9,289,84.0,218,97.5,69,96.1,38,24.9,332,76.3,169,59.7,The University of Sheffield,"{""entities"": {""Q823917"": {""type"": ""item"", ""id"": ""Q823917"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Sheffield, United Kingdom""}}}}, ""success"": 1}"
36,105,128,Uppsala University,SE,Sweden,L,FC,VH,5.0,A,62.7,111,30.5,320,47.7,330,45.6,296,98.3,108,82.4,152,95.5,47,58.2,105,99.4,12,59.4,Uppsala University,"{""entities"": {""Q185246"": {""type"": ""item"", ""id"": ""Q185246"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""research university in Uppsala, Sweden""}}}}, ""success"": 1}"
37,106,147=,RWTH Aachen University,DE,Germany,XL,FC,VH,5.0,A,49.7,163,93.0,44,5.5,701+,78.7,120,49.0,362,83.0,151,63.5,223,23.9,354,53.4,288=,59.3,RWTH Aachen University,"{""entities"": {""Q273263"": {""type"": ""item"", ""id"": ""Q273263"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Aachen, Germany""}}}}, ""success"": 1}"
38,=107,82,University of Copenhagen,DK,Denmark,XL,FC,VH,5.0,A,74.1,80,25.8,371,100.0,19,21.2,543,91.4,175,22.5,506,98.2,19,60.1,98,87.4,108=,58.8,University of Copenhagen,"{""entities"": {""Q186285"": {""type"": ""item"", ""id"": ""Q186285"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Copenhagen, Denmark""}}}}, ""success"": 1}"
39,=107,112=,Utrecht University,NL,Netherlands,XL,FC,VH,5.0,A,66.6,102,31.6,311,32.6,487,80.8,108,57.1,323,21.2,531,95.0,54,26.5,309,83.5,128=,58.8,Utrecht University,"{""entities"": {""Q221653"": {""type"": ""item"", ""id"": ""Q221653"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in the Netherlands""}}}}, ""success"": 1}"
40,109,116=,Aalto University,FI,Finland,L,FO,VH,2.0,A,44.6,187,41.8,223,40.2,391,79.4,112,95.5,147,37.7,363,56.2,277,88.9,39,95.0,53=,58.7,Aalto University,"{""entities"": {""Q300980"": {""type"": ""item"", ""id"": ""Q300980"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Finnish university""}}}}, ""success"": 1}"
41,110,122,Newcastle University,UK,United Kingdom,L,FC,VH,4.0,A,48.0,170,74.5,87,35.6,445,50.2,264,90.0,182,70.9,203,96.1,39,24.1,349,98.8,17,58.6,Newcastle University,"{""entities"": {""Q837164"": {""type"": ""item"", ""id"": ""Q837164"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Newcastle upon Tyne, United Kingdom""}}}}, ""success"": 1}"
42,115,106=,University of Helsinki,FI,Finland,L,CO,VH,5.0,A,65.1,105,32.3,304,63.4,223,49.8,265,71.5,268,5.4,701+,96.0,40,65.7,86,82.7,133=,57.2,University of Helsinki,"{""entities"": {""Q28695"": {""type"": ""item"", ""id"": ""Q28695"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Helsinki, Finland""}}}}, ""success"": 1}"
43,117,101,University of Oslo,NO,Norway,L,FC,VH,5.0,A,55.8,139,11.2,601+,81.7,132,64.2,183,86.1,202,25.4,472,95.9,43,41.8,173,91.8,80=,56.9,University of Oslo,"{""entities"": {""Q486156"": {""type"": ""item"", ""id"": ""Q486156"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Norwegian public research university""}}}}, ""success"": 1}"
44,118,153,Stockholm University,SE,Sweden,L,CO,VH,4.0,A,54.1,145,15.2,543,28.2,543,71.9,138,81.5,223,84.1,147,95.3,51,76.2,57,75.1,175=,56.8,Stockholm University,"{""entities"": {""Q221645"": {""type"": ""item"", ""id"": ""Q221645"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""state university of Stockholm, Sweden""}}}}, ""success"": 1}"
45,119,141=,Karlsruhe Institute of Technology,DE,Germany,L,CO,VH,4.0,A,45.6,182,76.8,76,36.0,443,71.9,139,70.4,275,46.7,312,76.0,166,38.7,187,23.9,504=,56.4,"KIT, Karlsruhe Institute of Technology","{""entities"": {""Q309988"": {""type"": ""item"", ""id"": ""Q309988"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""technical university and research center in Karlsruhe, Germany""}}}}, ""success"": 1}"
46,120,131=,Humboldt University of Berlin,DE,Germany,XL,FC,VH,5.0,A,90.2,43,65.9,120,7.6,701+,31.3,425,68.1,286,31.5,406,86.0,110,14.4,586,37.5,382=,56.3,Humboldt-Universität zu Berlin,"{""entities"": {""Q152087"": {""type"": ""item"", ""id"": ""Q152087"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Berlin, Germany""}}}}, ""success"": 1}"
47,121,104=,Technical University of Denmark,DK,Denmark,M,FO,VH,5.0,A,32.5,270,16.3,525,99.8,27,83.4,99,100.0,53,82.0,153,71.6,189,28.9,275,54.9,277=,56.2,Technical University of Denmark,"{""entities"": {""Q1269766"": {""type"": ""item"", ""id"": ""Q1269766"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in the town Kongens Lyngby""}}}}, ""success"": 1}"
48,122,146,Lancaster University,UK,United Kingdom,L,FC,VH,4.0,A,39.7,215,40.2,236,25.2,581,79.3,115,93.6,157,90.6,116,75.3,171,20.7,400,98.0,24,55.7,Lancaster University,"{""entities"": {""Q262854"": {""type"": ""item"", ""id"": ""Q262854"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""research university in Lancaster, United Kingdom""}}}}, ""success"": 1}"
49,123,139,Polytechnic University of Milan,IT,Italy,XL,FO,VH,5.0,A,69.3,94,71.2,99,5.2,701+,48.3,282,63.8,302,56.6,262,75.1,173,36.9,201,29.4,453=,55.2,Politecnico di Milano,"{""entities"": {""Q392904"": {""type"": ""item"", ""id"": ""Q392904"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""technical university in Milan, Italy""}}}}, ""success"": 1}"
50,=124,138,Eindhoven University of Technology,NL,Netherlands,M,FO,VH,4.0,A,29.3,295,76.2,78,40.4,390,89.7,75,100.0,30,70.8,205,40.1,377,19.7,426,18.0,567=,55.0,Eindhoven University of Technology,"{""entities"": {""Q280824"": {""type"": ""item"", ""id"": ""Q280824"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
51,=124,136,University of Basel,CH,Switzerland,M,FC,VH,5.0,A,27.8,314,17.8,494,57.4,253,96.5,44,100.0,34,85.0,143,74.4,175,41.1,179,70.4,201=,55.0,University of Basel,"{""entities"": {""Q372608"": {""type"": ""item"", ""id"": ""Q372608"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Basel, Switzerland""}}}}, ""success"": 1}"
52,=126,131=,Leiden University,NL,Netherlands,XL,FC,VH,5.0,A,69.1,95,26.8,362,20.2,659,62.7,190,85.5,204,50.2,292,93.7,61,26.9,303,46.0,331=,54.8,Leiden University,"{""entities"": {""Q156598"": {""type"": ""item"", ""id"": ""Q156598"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in the Netherlands""}}}}, ""success"": 1}"
53,=126,120,University of Bern,CH,Switzerland,M,FO,VH,5.0,A,30.5,284,24.4,396,54.6,280,99.2,17,100.0,42,36.9,369,89.1,89,26.1,313,73.6,182=,54.8,University of Bern,"{""entities"": {""Q659080"": {""type"": ""item"", ""id"": ""Q659080"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in the Swiss capital of Bern""}}}}, ""success"": 1}"
54,128,125=,University of Geneva,CH,Switzerland,L,FC,VH,5.0,A,45.1,184,14.1,579,42.0,374,75.4,127,100.0,45,96.3,81,87.3,99,31.0,246,63.1,232=,54.2,University of Geneva,"{""entities"": {""Q503473"": {""type"": ""item"", ""id"": ""Q503473"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university located in Geneva, Switzerland""}}}}, ""success"": 1}"
55,129,125=,Chalmers University of Technology,SE,Sweden,M,FO,VH,5.0,B,26.6,326,51.5,158,51.1,306,80.9,107,100.0,49,67.4,220,52.2,299,28.7,278,82.9,132,54.0,Chalmers University of Technology,"{""entities"": {""Q836805"": {""type"": ""item"", ""id"": ""Q836805"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Gothenburg, Sweden""}}}}, ""success"": 1}"
56,=130,151,University of Vienna,AT,Austria,XL,FC,VH,5.0,A,70.8,88,42.5,217,22.0,629,14.5,646,99.3,92,88.1,129,93.5,62,56.8,109,74.1,180,53.7,University of Vienna,"{""entities"": {""Q165980"": {""type"": ""item"", ""id"": ""Q165980"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Vienna, Austria""}}}}, ""success"": 1}"
57,=134,171,Sapienza University of Rome,IT,Italy,XL,FC,VH,5.0,A,79.2,74,41.0,229,4.6,701+,44.9,301,3.0,701+,10.8,697,96.9,33,59.8,101,92.0,79,52.9,Sapienza University of Rome,"{""entities"": {""Q209344"": {""type"": ""item"", ""id"": ""Q209344"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Italian university founded in Rome in 1303""}}}}, ""success"": 1}"
58,139,145,University of Groningen,NL,Netherlands,XL,FC,VH,5.0,A,52.9,148,29.9,326,51.4,304,42.9,311,93.5,159,85.6,140,92.1,67,22.3,372,67.7,214,52.5,University of Groningen,"{""entities"": {""Q850730"": {""type"": ""item"", ""id"": ""Q850730"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in the Netherlands""}}}}, ""success"": 1}"
59,=143,161,Aarhus University,DK,Denmark,L,FC,VH,4.0,A,55.8,140,24.7,387,32.5,490,54.1,238,90.3,181,13.1,661,94.8,56,45.1,156,98.4,18=,52.0,Aarhus University,"{""entities"": {""Q924265"": {""type"": ""item"", ""id"": ""Q924265"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Aarhus, Denmark""}}}}, ""success"": 1}"
60,=145,125=,Queen Mary University of London,UK,United Kingdom,L,FC,VH,5.0,A,48.8,168,32.8,300,38.7,409,50.7,260,99.7,85,99.4,43,72.8,184,16.8,506,69.9,207=,51.9,Queen Mary University of London,"{""entities"": {""Q195668"": {""type"": ""item"", ""id"": ""Q195668"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in London, United Kingdom; constituent college of the federal University of London""}}}}, ""success"": 1}"
61,148,179=,University of Bath,UK,United Kingdom,L,CO,VH,4.0,A,35.6,244,74.3,88,16.1,701+,61.9,196,96.3,136,81.6,155,59.3,251,26.5,310,48.4,316=,51.8,University of Bath,"{""entities"": {""Q1422458"": {""type"": ""item"", ""id"": ""Q1422458"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Bath, United Kingdom""}}}}, ""success"": 1}"
62,=149,178,Autonomous University of Barcelona,ES,Spain,XL,FC,VH,4.0,A,63.2,109,39.0,246,10.6,701+,70.6,145,18.0,615,17.4,582,84.2,123,13.7,623,94.6,60,51.7,Universitat Autònoma de Barcelona,"{""entities"": {""Q43452"": {""type"": ""item"", ""id"": ""Q43452"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Catalonia, Spain""}}}}, ""success"": 1}"
63,=151,124,Wageningen University & Research,NL,Netherlands,L,FO,VH,5.0,A,43.3,196,19.0,472,97.9,47,46.0,292,55.0,336,78.5,170,97.8,22,19.0,438,71.5,196=,51.3,Wageningen University & Research,"{""entities"":{""Q422208"":{""type"":""item"",""id"":""Q422208"",""descriptions"":{""en"":{""language"":""en"",""value"":""university in the Netherlands""}}}},""success"":1}"
64,153,163,University of Exeter,UK,United Kingdom,L,FC,VH,4.0,A,43.0,199,51.1,161,27.4,555,43.3,308,91.6,174,76.2,180,89.8,85,19.7,424,94.8,57,50.9,The University of Exeter,"{""entities"": {""Q1414861"": {""type"": ""item"", ""id"": ""Q1414861"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university located in Exeter, United Kingdom""}}}}, ""success"": 1}"
65,=154,167=,University of Bologna,IT,Italy,XL,FC,VH,5.0,A,79.6,73,40.0,237,3.4,701+,49.5,267,8.0,701+,10.9,695,91.0,75,34.8,219,56.5,268=,50.5,Alma Mater Studiorum - University of Bologna,"{""entities"": {""Q131262"": {""type"": ""item"", ""id"": ""Q131262"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Bologna, Italy""}}}}, ""success"": 1}"
66,=154,166,Cardiff University,UK,United Kingdom,L,FC,VH,5.0,A,46.5,176,48.3,181,33.7,474,39.6,347,84.0,217,70.6,206,81.6,138,18.9,442,97.9,25,50.5,Cardiff University,"{""entities"": {""Q1035745"": {""type"": ""item"", ""id"": ""Q1035745"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Cardiff, United Kingdom""}}}}, ""success"": 1}"
