Unnamed: 0,2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,Institution Name - WRONG,Wikidata
425,1001-1200,801-1000,Technical University of Košice,SK,Slovakia,M,FO,VH,4.0,A,7.5,601+,2.5,601+,22.8,621,5.2,701+,1.5,701+,59.3,251,1.7,701+,12.8,670,1.1,701+,-,Technical University of Kosice,"{""entities"": {""Q1719038"": {""type"": ""item"", ""id"": ""Q1719038"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Slovakia""}}}}, ""success"": 1}"
426,1001-1200,801-1000,Technical University of Liberec,CZ,Czech Republic,M,SP,,4.0,A,4.3,601+,3.2,601+,45.5,346,4.3,701+,16.4,647,10.1,701+,1.6,701+,7.8,701+,1.0,701+,-,Technical University of Liberec,"{""entities"": {""Q1291752"": {""type"": ""item"", ""id"": ""Q1291752"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
427,1001-1200,1001-1200,University of Northampton,UK,United Kingdom,M,CO,HI,2.0,A,3.4,601+,2.9,601+,5.7,701+,2.9,701+,37.8,426,96.7,78,1.0,701+,9.6,701+,1.0,701+,-,The University of Northampton,"{""entities"": {""Q3123462"": {""type"": ""item"", ""id"": ""Q3123462"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""modern university in Northamptonshire, UK""}}}}, ""success"": 1}"
428,1001-1200,1001-1200,Tomas Bata University in Zlín,CZ,Czech Republic,S,CO,VH,2.0,A,4.4,601+,15.0,547,11.3,701+,5.0,701+,19.5,595,33.9,389,1.2,701+,10.1,701+,1.0,701+,-,Tomas Bata University in Zlin,"{""entities"": {""Q1267725"": {""type"": ""item"", ""id"": ""Q1267725"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in the Czech Republic""}}}}, ""success"": 1}"
429,1001-1200,801-1000,Ufa State Aviation Technical University,RU,Russia,M,FO,VH,3.0,A,3.9,601+,2.0,601+,51.0,307,1.5,701+,1.2,701+,2.3,701+,,,8.0,701+,1.2,701+,-,Ufa State Aviation Technical University,"{""entities"": {""Q1963516"": {""type"": ""item"", ""id"": ""Q1963516"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""state higher school in Ufa, Russia""}}}}, ""success"": 1}"
430,1001-1200,,University of Córdoba (Spain),ES,Spain,L,CO,VH,4.0,,10.6,601+,3.4,601+,28.0,546,10.4,701+,,,,,33.3,430,4.3,701+,,,-,Universidad de Córdoba - España,"{""entities"": {""Q734010"": {""type"": ""item"", ""id"": ""Q734010"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Spanish university""}}}}, ""success"": 1}"
431,1001-1200,,University of León,ES,Spain,M,FO,VH,3.0,,5.7,601+,3.1,601+,63.9,220,3.9,701+,3.5,701+,4.4,701+,4.5,701+,8.1,701+,,,-,Universidad de León,"{""entities"": {""Q781108"": {""type"": ""item"", ""id"": ""Q781108"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Spain""}}}}, ""success"": 1}"
432,1001-1200,1001-1200,University of Oviedo,ES,Spain,L,CO,VH,5.0,A,12.6,601+,3.5,601+,14.3,701+,7.7,701+,,,,,24.8,500,4.3,701+,7.2,701+,-,Universidad de Oviedo,"{""entities"": {""Q2303432"": {""type"": ""item"", ""id"": ""Q2303432"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Asturias, Spain""}}}}, ""success"": 1}"
433,1001-1200,1001-1200,University of A Coruña,ES,Spain,L,CO,VH,3.0,A,5.8,601+,5.6,601+,25.1,582,7.1,701+,2.8,701+,4.6,701+,12.0,636,7.6,701+,42.6,345=,-,Universidade da Coruña,"{""entities"": {""Q280305"": {""type"": ""item"", ""id"": ""Q280305"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Spanish university""}}}}, ""success"": 1}"
434,1001-1200,1201-1400,D'Annunzio University of Chieti–Pescara,IT,Italy,L,FO,VH,4.0,A,3.6,601+,1.5,601+,3.3,701+,25.3,481,4.1,701+,3.0,701+,5.5,701+,4.7,701+,1.0,701+,-,"Universita' degli Studi ""G. d'Annunzio"" Chieti Pescara","{""entities"": {""Q2261128"": {""type"": ""item"", ""id"": ""Q2261128"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university located in Chieti and Pescara, Italy""}}}}, ""success"": 1}"
